t,v_10,v_90
301.5,-87.8702,-27.42692
301.5333333,-87.87846667,-27.44095
301.5666667,-87.88673333,-27.45497
301.6,-87.895,-27.44589
301.6333333,-87.90326667,-27.43681
301.6666667,-87.91153333,-27.42773
301.7,-87.9198,-27.41865
301.7333333,-87.92806667,-27.40957
301.7666667,-87.93008,-27.40049
301.8,-87.91558667,-27.39141
301.8333333,-87.91405333,-27.38233
301.8666667,-87.90007667,-27.37325
301.9,-87.88881333,-27.36417
301.9333333,-87.90707667,-27.35509
301.9666667,-87.9274,-27.34601
302,-87.95036333,-27.33693
302.0333333,-87.96113333,-27.32785
302.0666667,-87.97188,-27.31877
302.1,-87.98262667,-27.30969
302.1333333,-87.99337333,-27.30061
302.1666667,-88.00412,-27.29153
302.2,-88.01486667,-27.28245
302.2333333,-88.02561333,-27.27337
302.2666667,-88.03636,-27.26429
302.3,-88.04710667,-27.25521
302.3333333,-88.05785333,-27.24613
302.3666667,-88.0686,-27.23705
302.4,-88.07934667,-27.22797
302.4333333,-88.09009333,-27.21889
302.4666667,-88.10084,-27.20981
302.5,-88.11158667,-27.20073
302.5333333,-88.12233333,-27.19165
302.5666667,-88.13638667,-27.19249
302.6,-88.15044,-27.21643
302.6333333,-88.16449333,-27.24037
302.6666667,-88.17854667,-27.26431
302.7,-88.1926,-27.28825
302.7333333,-88.20086667,-27.31219
302.7666667,-88.20913333,-27.33613
302.8,-88.2174,-27.36007
302.8333333,-88.22566667,-27.38401
302.8666667,-88.23393333,-27.40795
302.9,-88.22814667,-27.43189
302.9333333,-88.21657333,-27.45583
302.9666667,-88.205,-27.47977
303,-88.20004,-27.50371
303.0333333,-88.19508,-27.52765
303.0666667,-88.19012,-27.55159
303.1,-88.18516,-27.57553
303.1333333,-88.1802,-27.59947
303.1666667,-88.17524,-27.62341
303.2,-88.17028,-27.64735
303.2333333,-88.17516,-27.67129
303.2666667,-88.19003,-27.69523
303.3,-88.2049,-27.71917
303.3333333,-88.23946333,-27.74311
303.3666667,-88.27416,-27.76705
303.4,-88.30885667,-27.79099
303.4333333,-88.33230667,-27.81493
303.4666667,-88.33809333,-27.83887
303.5,-88.34388,-27.86281
303.5333333,-88.34966667,-27.88675
303.5666667,-88.35545333,-27.91069
303.6,-88.36124,-27.94044
303.6333333,-88.36702667,-27.97019
303.6666667,-88.37281333,-27.99994
303.7,-88.39093,-28.02969
303.7333333,-88.41487,-28.05944
303.7666667,-88.43881,-28.08919
303.8,-88.46275,-28.11894
303.8333333,-88.47516333,-28.14869
303.8666667,-88.47021667,-28.17844
303.9,-88.48163,-28.20819
303.9333333,-88.51301,-28.23794
303.9666667,-88.54439,-28.26769
304,-88.56436,-28.29744
304.0333333,-88.57838,-28.32719
304.0666667,-88.5924,-28.35694
304.1,-88.60642,-28.38669
304.1333333,-88.62044,-28.41644
304.1666667,-88.63446,-28.44619
304.2,-88.64848,-28.47594
304.2333333,-88.62782667,-28.50569
304.2666667,-88.58405,-28.53544
304.3,-88.54686,-28.56519
304.3333333,-88.53280333,-28.59494
304.3666667,-88.50708,-28.62469
304.4,-88.46413667,-28.65444
304.4333333,-88.42119333,-28.68419
304.4666667,-88.37825,-28.71394
304.5,-88.35512667,-28.74369
304.5333333,-88.33200333,-28.77344
304.5666667,-88.30888,-28.79823
304.6,-88.28575667,-28.82299667
304.6333333,-88.26263333,-28.84776333
304.6666667,-88.23951,-28.87253
304.7,-88.21638667,-28.89729667
304.7333333,-88.19997,-28.92206333
304.7666667,-88.19006,-28.94683
304.8,-88.18015,-28.97159667
304.8333333,-88.17524,-28.99636333
304.8666667,-88.1802,-29.02113
304.9,-88.20242667,-29.04589667
304.9333333,-88.15538,-29.07066333
304.9666667,-88.14465333,-29.09543
305,-88.13392667,-29.12019667
305.0333333,-88.1232,-29.14496333
305.0666667,-88.08932667,-29.16973
305.1,-88.05789333,-29.19449667
305.1333333,-88.03393,-29.21926333
305.1666667,-88.00996667,-29.24403
305.2,-87.98600333,-29.26879667
305.2333333,-87.97698,-29.29356333
305.2666667,-87.98274667,-29.31833
305.3,-87.98851333,-29.34309667
305.3333333,-87.99428,-29.36786333
305.3666667,-88.00004667,-29.39263
305.4,-88.00581333,-29.41739667
305.4333333,-88.01822,-29.44216333
305.4666667,-88.05372,-29.46693
305.5,-88.08922,-29.49169667
305.5333333,-88.12472,-29.51646333
305.5666667,-88.17021,-29.53628
305.6,-88.22058,-29.53876
305.6333333,-88.27095,-29.54124
305.6666667,-88.32132,-29.54372
305.7,-88.34887,-29.5462
305.7333333,-88.36454333,-29.54868
305.7666667,-88.38021667,-29.55116
305.8,-88.39589,-29.55364
305.8333333,-88.39669333,-29.55612
305.8666667,-88.39749667,-29.5586
305.9,-88.3983,-29.56108
305.9333333,-88.39910333,-29.56356
305.9666667,-88.39990667,-29.56604
306,-88.40071,-29.56852
306.0333333,-88.40151333,-29.571
306.0666667,-88.40231667,-29.57348
306.1,-88.40312,-29.57596
306.1333333,-88.40392333,-29.57844
306.1666667,-88.40472667,-29.58092
306.2,-88.42937,-29.5834
306.2333333,-88.45710333,-29.58588
306.2666667,-88.48483667,-29.58836
306.3,-88.51257,-29.59084
306.3333333,-88.52294333,-29.59332
306.3666667,-88.5047,-29.5958
306.4,-88.48645667,-29.59828
306.4333333,-88.46821333,-29.60076
306.4666667,-88.44997,-29.60324
306.5,-88.44807333,-29.60572
306.5333333,-88.43279667,-29.6082
306.5666667,-88.40555,-29.61068
306.6,-88.37830333,-29.60737333
